"","MOSTYPE","MAANTHUI","MGEMOMV","MGEMLEEF","MOSHOOFD","MGODRK","MGODPR","MGODOV","MGODGE","MRELGE","MRELSA","MRELOV","MFALLEEN","MFGEKIND","MFWEKIND","MOPLHOOG","MOPLMIDD","MOPLLAAG","MBERHOOG","MBERZELF","MBERBOER","MBERMIDD","MBERARBG","MBERARBO","MSKA","MSKB1","MSKB2","MSKC","MSKD","MHHUUR","MHKOOP","MAUT1","MAUT2","MAUT0","MZFONDS","MZPART","MINKM30","MINK3045","MINK4575","MINK7512","MINK123M","MINKGEM","MKOOPKLA","PWAPART","PWABEDR","PWALAND","PPERSAUT","PBESAUT","PMOTSCO","PVRAAUT","PAANHANG","PTRACTOR","PWERKT","PBROM","PLEVEN","PPERSONG","PGEZONG","PWAOREG","PBRAND","PZEILPL","PPLEZIER","PFIETS","PINBOED","PBYSTAND","AWAPART","AWABEDR","AWALAND","APERSAUT","ABESAUT","AMOTSCO","AVRAAUT","AAANHANG","ATRACTOR","AWERKT","ABROM","ALEVEN","APERSONG","AGEZONG","AWAOREG","ABRAND","AZEILPL","APLEZIER","AFIETS","AINBOED","ABYSTAND","Purchase"
"24",34,2,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"29",31,1,4,2,7,0,9,0,0,5,0,4,0,0,9,0,0,9,0,0,2,0,3,5,0,4,0,5,0,9,0,3,2,4,7,2,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"No"
"31",24,2,2,2,5,1,3,2,4,2,4,3,3,3,3,2,5,3,2,0,0,5,3,0,2,1,4,4,0,5,4,7,0,2,9,0,5,3,2,0,0,3,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"36",8,1,3,2,2,2,4,1,4,6,1,3,1,4,5,2,5,2,2,2,0,3,1,3,3,2,2,3,1,6,3,7,1,2,6,3,3,4,3,0,0,3,7,2,0,0,6,0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,"No"
"37",7,1,3,2,2,0,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,2,3,4,0,0,0,9,7,2,0,7,2,0,6,3,0,0,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"40",33,2,3,3,8,0,2,3,5,6,3,0,0,3,6,0,1,8,0,0,0,1,6,3,0,1,1,8,0,3,6,6,3,0,9,0,3,5,2,1,0,3,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"No"
"43",8,1,3,3,2,1,4,1,4,6,1,2,2,3,5,2,4,3,3,1,1,3,2,2,3,2,2,3,0,4,5,6,2,1,4,5,2,2,4,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"44",33,1,2,4,8,0,5,0,4,8,0,1,1,7,2,2,2,6,2,0,3,2,2,2,2,1,3,4,1,6,3,6,0,3,7,2,4,2,3,1,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"45",3,1,3,3,1,2,7,0,0,7,1,2,1,3,5,0,4,5,2,1,0,3,2,3,1,3,2,4,1,0,9,6,2,2,5,4,0,5,3,1,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"52",25,1,2,3,6,0,5,1,4,3,2,5,5,3,3,2,3,4,1,1,0,4,2,3,1,4,1,3,2,7,2,6,1,3,8,1,5,3,2,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"55",33,2,3,3,8,0,6,1,3,7,0,2,1,3,6,1,2,7,1,0,1,3,3,4,1,2,1,6,1,1,8,8,0,1,8,1,0,2,7,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,"No"
"57",11,1,1,2,3,0,5,1,4,4,3,2,6,3,1,4,5,1,2,0,0,4,3,2,1,1,1,7,2,8,1,8,0,1,9,0,3,5,2,0,0,3,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"58",12,1,3,2,3,0,6,0,3,7,2,0,1,2,6,2,4,4,1,0,0,5,2,1,0,3,2,4,0,0,9,9,0,0,5,4,2,4,4,0,0,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Yes"
"63",34,1,3,3,8,0,4,0,5,9,0,0,0,5,4,3,4,3,2,0,0,5,2,1,2,1,3,4,1,2,7,5,4,0,5,4,0,2,3,2,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"64",23,2,1,1,5,0,2,4,4,2,2,5,5,4,0,0,7,2,0,0,0,7,0,2,0,5,0,4,0,9,0,7,0,2,9,0,4,4,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"67",36,1,3,3,8,0,6,1,2,7,1,2,1,4,4,1,2,6,1,0,1,3,2,4,1,1,2,6,1,5,4,5,2,3,6,3,2,5,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"72",25,1,2,5,6,1,5,2,2,5,1,3,4,5,1,1,5,4,3,1,0,4,1,2,3,2,2,2,3,6,3,7,1,1,5,4,4,4,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"75",11,1,3,2,3,1,4,0,5,6,2,1,2,3,5,3,6,0,2,0,0,5,1,1,2,3,4,1,0,2,7,7,2,0,5,4,1,0,5,3,0,6,6,2,0,0,6,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"No"
"77",38,1,2,3,9,0,4,2,3,5,1,3,2,4,3,0,3,6,1,0,1,2,2,5,1,1,2,5,3,8,1,6,1,3,6,3,4,4,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"No"
"81",3,1,2,3,1,0,6,1,3,5,0,4,3,3,4,1,3,5,1,0,1,6,1,3,1,2,2,3,3,2,7,7,0,2,7,2,0,5,4,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"82",3,1,2,4,1,1,4,1,4,7,1,2,0,9,0,0,0,9,4,0,0,2,2,1,0,0,5,4,0,5,5,6,2,1,5,4,5,5,0,0,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"95",39,1,2,3,9,0,7,2,0,9,0,0,2,5,2,2,5,2,1,0,0,3,3,3,1,2,3,4,1,6,3,7,0,2,7,2,1,3,3,2,0,6,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"No"
"97",39,1,2,3,9,0,4,0,5,9,0,0,2,4,3,0,0,9,0,0,0,4,5,0,0,0,0,9,0,6,3,9,0,0,9,0,3,4,3,1,0,3,5,0,0,0,6,0,0,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,"No"
"98",9,1,2,3,3,0,6,1,2,7,1,1,5,1,4,5,4,0,4,0,0,5,1,0,1,8,0,0,0,9,0,8,1,1,4,5,0,5,4,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"100",24,1,2,2,5,3,4,1,2,1,3,5,4,3,2,1,4,5,1,0,0,3,1,5,1,1,3,4,2,8,1,7,0,2,6,3,5,3,1,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"102",1,1,3,4,1,0,6,2,2,9,0,0,0,4,5,3,6,0,4,0,0,4,2,0,4,2,4,0,0,0,9,6,3,0,3,6,0,6,3,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"107",2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"108",23,1,2,2,5,3,3,0,4,6,0,3,4,2,4,3,5,2,3,1,0,2,2,2,4,2,1,2,1,6,3,7,1,1,2,7,2,3,3,3,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"111",8,1,4,3,2,2,5,1,2,6,1,3,0,2,7,4,4,2,3,1,0,5,2,1,2,2,3,2,1,1,8,8,0,1,6,3,1,3,4,3,1,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"114",34,2,4,3,8,2,4,2,3,7,0,2,1,3,5,4,5,0,4,1,0,3,0,3,4,2,4,0,0,8,1,6,3,0,0,9,0,4,4,1,1,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"115",33,1,3,3,8,0,7,1,2,8,0,1,1,4,4,0,4,5,1,0,0,4,2,2,1,1,3,4,2,0,9,7,1,2,6,3,0,5,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"117",34,1,2,3,8,0,5,2,2,6,1,2,2,3,4,3,1,6,2,0,0,3,3,2,2,1,2,5,0,2,7,7,0,2,8,1,2,5,2,0,0,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"120",33,1,3,3,8,0,9,0,0,5,0,4,2,3,4,0,3,6,0,0,2,0,3,5,1,0,0,7,2,4,5,3,2,4,7,2,6,2,2,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"123",34,2,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"124",9,1,3,3,3,0,5,1,4,7,1,2,1,3,5,0,3,6,1,0,0,3,4,2,1,3,1,5,1,8,1,6,1,2,9,0,1,5,3,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"129",25,1,2,3,6,0,5,1,4,3,2,5,5,3,3,2,3,4,1,1,0,4,2,3,1,4,1,3,2,7,2,6,1,3,8,1,5,3,2,0,0,3,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"130",23,1,2,2,5,2,4,1,3,3,2,5,5,3,2,2,6,2,1,0,0,3,2,4,1,3,3,4,1,8,1,5,0,4,8,1,6,2,1,0,1,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"132",37,1,2,3,8,0,5,2,3,5,2,3,2,6,1,1,3,5,2,1,0,3,1,4,1,1,2,3,3,4,5,7,1,2,6,3,3,4,3,1,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"No"
"135",7,1,3,2,2,0,0,0,9,5,4,0,0,4,5,3,6,0,3,0,0,6,0,0,3,2,4,0,0,0,9,6,3,0,6,3,0,3,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"137",33,1,3,3,8,1,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,1,2,5,1,2,7,4,4,2,7,2,3,3,3,0,1,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"140",13,1,3,2,3,4,0,0,5,5,4,0,0,6,3,6,2,2,6,0,0,2,2,1,6,2,0,2,0,0,9,7,2,0,2,7,0,3,3,4,1,6,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"144",38,1,4,2,9,2,4,2,4,7,1,2,2,0,7,1,8,0,1,0,0,4,4,1,0,1,5,3,0,2,7,7,1,2,6,3,4,2,4,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"147",31,1,3,3,7,0,2,3,4,6,0,3,2,0,7,0,3,6,0,0,0,3,3,4,0,2,0,7,0,9,0,7,0,2,9,0,2,5,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"150",8,2,3,3,2,0,5,2,3,7,1,2,2,3,5,3,4,3,4,0,0,4,1,0,4,2,2,2,0,1,8,8,0,1,6,3,0,5,4,0,0,4,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"151",8,1,4,3,2,1,5,1,3,7,1,2,0,3,6,3,5,1,3,1,0,4,1,2,3,3,2,2,1,1,8,7,0,2,5,4,1,3,5,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"152",3,1,2,4,1,0,4,0,5,7,0,2,2,6,2,3,5,1,6,1,0,2,0,1,6,0,2,2,0,6,3,7,2,0,3,6,2,4,4,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"157",10,1,4,3,3,5,3,1,1,8,1,1,1,1,8,1,5,3,1,0,0,5,3,1,1,3,3,3,0,1,8,9,0,0,5,4,3,2,4,0,0,4,8,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"159",32,1,2,4,7,0,4,2,3,5,0,4,4,4,2,0,2,7,0,0,0,4,0,5,0,1,1,3,5,9,0,7,0,2,9,0,8,1,1,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"162",9,1,3,3,3,2,3,2,4,8,1,1,1,5,4,2,1,7,2,0,0,3,3,2,2,1,1,7,0,9,0,6,2,2,7,2,2,3,2,4,0,6,4,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"165",41,1,3,3,10,0,5,0,4,7,2,0,0,3,6,0,4,5,2,0,2,0,4,3,2,0,2,5,0,4,5,7,2,0,5,4,2,2,3,3,0,5,4,0,0,0,6,0,0,0,0,5,0,0,0,0,3,0,6,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,"No"
"166",39,1,2,4,9,0,4,1,5,3,1,6,3,2,4,0,1,8,1,0,0,1,0,7,0,0,2,2,5,8,1,4,2,4,7,2,7,2,0,0,0,2,5,0,0,4,5,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"169",35,1,4,3,8,0,4,1,5,6,2,2,0,4,5,0,4,5,4,0,0,3,3,0,0,4,0,5,0,5,4,6,2,2,8,1,0,0,4,5,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"173",41,1,2,4,10,0,5,2,2,7,1,1,0,6,3,2,0,7,2,2,3,2,1,2,1,1,4,3,1,1,8,8,0,1,5,4,2,4,3,2,0,4,4,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"176",29,1,3,4,7,2,4,0,4,7,0,2,0,3,6,1,1,7,2,0,0,3,3,3,1,0,2,5,2,1,8,5,2,2,7,2,0,7,2,0,0,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No"
"179",33,1,4,2,8,0,6,2,1,6,1,2,0,1,8,1,1,8,1,0,0,2,2,5,1,0,1,6,3,8,1,6,1,2,8,1,4,4,2,0,1,3,3,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"No"
"185",33,1,3,3,8,1,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,1,2,5,1,2,7,4,4,2,7,2,3,3,3,0,1,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"187",38,1,4,2,9,0,2,3,5,6,0,3,2,0,7,0,6,3,0,0,0,7,0,2,0,3,4,3,0,4,5,9,0,0,7,2,0,7,0,2,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"190",13,1,3,2,3,2,4,2,4,7,1,2,2,3,5,3,5,2,3,1,1,4,2,2,3,2,3,2,1,6,3,7,1,2,6,3,1,3,5,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"196",39,1,3,3,9,1,6,1,2,5,1,3,0,5,4,0,5,4,0,0,0,0,5,4,0,0,0,9,0,0,9,6,1,3,7,2,3,4,3,1,0,4,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No"
"197",9,1,3,3,3,0,5,0,4,7,0,2,2,4,3,0,7,2,0,0,0,7,0,2,0,3,5,2,0,9,0,9,0,0,9,0,4,5,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"No"
"201",22,1,2,2,5,0,3,1,6,6,2,1,1,4,4,2,2,5,2,0,0,3,2,3,2,1,2,5,1,8,1,7,1,2,7,2,2,6,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"No"
"203",10,1,3,3,3,1,4,1,4,9,0,0,0,5,4,3,5,2,5,0,0,1,1,3,2,2,5,2,0,0,9,7,2,0,2,7,0,2,5,3,1,6,8,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"No"
